,conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
258,1608747020914655232,Fri Dec 30 08:49:13 +0000 2022,0,dukung bijak perintah maju bangsa,1608747020914655232,https://pbs.twimg.com/media/FlNq4-cWAAEfOv0.jpg,,in,"Lampung Timur, Lampung",0,0,0,https://twitter.com/RengginangMas/status/1608747020914655232,1413405180427603972,RengginangMas
259,1608747012349894658,Fri Dec 30 08:49:11 +0000 2022,0,bijak presiden hasil lewat masa masa sulit indonesia,1608747012349894658,https://pbs.twimg.com/media/FlNq4d0XoAERnbg.jpg,,in,"Lampung Timur, Lampung",0,0,0,https://twitter.com/RengginangMas/status/1608747012349894658,1413405180427603972,RengginangMas
260,1608746988970844161,Fri Dec 30 08:49:05 +0000 2022,0,dukung bijak perintah,1608746988970844161,https://pbs.twimg.com/media/FlNq3HMXkAAPGE8.jpg,,in,"Lampung Timur, Lampung",0,0,0,https://twitter.com/RengginangMas/status/1608746988970844161,1413405180427603972,RengginangMas
261,1608746988593356801,Fri Dec 30 08:49:05 +0000 2022,0,asyik bijak keren,1608746988593356801,https://pbs.twimg.com/media/FlNq3FxWIAE2GAw.jpg,,in,"Lampung Timur, Lampung",0,0,0,https://twitter.com/RengginangMas/status/1608746988593356801,1413405180427603972,RengginangMas
262,1608746812361539584,Fri Dec 30 08:48:23 +0000 2022,0,hari presiden jokowi umum cabut bijak laku batas giat masyarakat ppkm ikut nyata lengkap,1608746812361539584,,,in,,0,0,0,https://twitter.com/Iron_Man_2030/status/1608746812361539584,1391925410808557568,Iron_Man_2030
263,1608746470340960257,Fri Dec 30 08:47:02 +0000 2022,0,dukugn bijak laku presiden jokowi,1608746470340960257,https://pbs.twimg.com/media/FlNqY50XoAE3upu.jpg,,in,Yogyakarta,0,0,0,https://twitter.com/Agatajimenez2/status/1608746470340960257,1356595721374294023,Agatajimenez2
264,1608746346638635009,Fri Dec 30 08:46:32 +0000 2022,0,cabut bijak ppkm jokowi nyata tak batas kerumun masyarakat,1608746346638635009,,,in,"Jakarta Capital Region, Indone",0,0,0,https://twitter.com/validnewsid/status/1608746346638635009,874558344593195008,validnewsid
265,1608746163498549249,Fri Dec 30 08:45:49 +0000 2022,0,moga kemenhub kai commuterline mrtjakarta pttransjakarta cepat sesuai bijak yaaaaa,1608746163498549249,,,in,JKT,0,0,0,https://twitter.com/willandh_/status/1608746163498549249,37572323,willandh_
266,1608745986083405824,Fri Dec 30 08:45:06 +0000 2022,1,pdip nilai bijak ekspor beras cina tak sesuai fakta,1608745986083405824,,,in,Indonesia,0,3,1,https://twitter.com/tempodotco/status/1608745986083405824,18129942,tempodotco
267,1608745933512265730,Fri Dec 30 08:44:54 +0000 2022,0,opini ekonomi politik atas resesi ekonomi lalu bijak fiskal lewat koranseruyacom,1608745933512265730,,,in,"Jakarta Selatan, DKI Jakarta",0,0,0,https://twitter.com/abdullahtaufikm/status/1608745933512265730,1008198976183529475,abdullahtaufikm
